Date,Rate
4/25/1977,8.85
5/2/1977,8.85
5/9/1977,8.85
5/16/1977,8.827142857
5/23/1977,8.821428571
5/30/1977,8.83
6/6/1977,8.841428571
6/13/1977,8.85
6/20/1977,8.854285714
6/27/1977,8.88
7/4/1977,8.84
7/11/1977,8.81
7/18/1977,8.832857143
7/25/1977,8.827142857
8/1/1977,8.764285714
8/8/1977,8.724285714
8/15/1977,8.72
8/22/1977,8.714285714
8/29/1977,8.721428571
9/5/1977,8.73
9/12/1977,8.73
9/19/1977,8.73
9/26/1977,8.73
10/3/1977,8.73
10/10/1977,8.667142857
10/17/1977,8.597142857
10/24/1977,8.58
10/31/1977,8.562857143
11/7/1977,8.635714286
11/14/1977,8.7
11/21/1977,8.648571429
11/28/1977,8.615714286
12/5/1977,8.62
12/12/1977,8.62
12/19/1977,8.534285714
12/26/1977,8.47
1/2/1978,8.332857143
1/9/1978,8.332857143
1/16/1978,8.19
1/23/1978,8.151428571
1/30/1978,8.1
2/6/1978,8.065714286
2/13/1978,8.117142857
2/20/1978,8.13
2/27/1978,8.13
3/6/1978,8.125714286
3/13/1978,8.118571429
3/20/1978,8.211428571
3/27/1978,8.282857143
4/3/1978,8.33
4/10/1978,8.358571429
4/17/1978,8.391428571
4/24/1978,8.571428571
5/1/1978,8.631428571
5/8/1978,8.562857143
5/15/1978,8.562857143
5/22/1978,8.644285714
5/29/1978,8.538571429
6/5/1978,8.417142857
6/12/1978,8.405714286
6/19/1978,8.44
6/26/1978,8.424285714
7/3/1978,8.32
7/10/1978,8.242857143
7/17/1978,8.172857143
7/24/1978,8.13
7/31/1978,8.107142857
8/7/1978,7.978571429
8/14/1978,8.011428571
8/21/1978,7.918571429
8/28/1978,8.048571429
9/4/1978,8.16
9/11/1978,8.041428571
9/18/1978,8.095714286
9/25/1978,8.004285714
10/2/1978,7.97
10/9/1978,7.97
10/16/1978,7.907142857
10/23/1978,7.927142857
10/30/1978,7.925714286
11/6/1978,7.681428571
11/13/1978,7.837142857
11/20/1978,8.114285714
11/27/1978,8.274285714
12/4/1978,8.244285714
12/11/1978,8.195714286
12/18/1978,8.271428571
12/25/1978,8.2
1/1/1979,8.23
1/8/1979,8.08
1/15/1979,8.222857143
1/22/1979,8.272857143
1/29/1979,8.264285714
2/5/1979,8.291428571
2/12/1979,8.3
2/19/1979,8.22
2/26/1979,8.22
3/5/1979,8.198571429
3/12/1979,8.214285714
3/19/1979,8.242857143
3/26/1979,8.295714286
4/2/1979,8.217142857
4/9/1979,8.122857143
4/16/1979,8.155714286
4/23/1979,8.228571429
4/30/1979,8.348571429
5/7/1979,8.307142857
5/14/1979,8.34
5/21/1979,8.292857143
5/28/1979,8.237142857
6/4/1979,8.177142857
6/11/1979,8.165714286
6/18/1979,8.11
6/25/1979,8.114285714
7/2/1979,8.068571429
7/9/1979,7.935714286
7/16/1979,7.982857143
7/23/1979,7.854285714
7/30/1979,7.858571429
8/6/1979,7.937142857
8/13/1979,8
8/20/1979,7.995714286
8/27/1979,8.045714286
9/3/1979,8.051428571
9/10/1979,8.037142857
9/17/1979,8.165714286
9/24/1979,8.192857143
10/1/1979,8.12
10/8/1979,8.104285714
10/15/1979,8.2
10/22/1979,8.235714286
10/29/1979,8.305714286
11/5/1979,8.365714286
11/12/1979,8.282857143
11/19/1979,8.151428571
11/26/1979,8.13
12/3/1979,8.072857143
12/10/1979,8.078571429
12/17/1979,8.125714286
12/24/1979,8.134285714
12/31/1979,8.054285714
1/7/1980,8.021428571
1/14/1980,8.024285714
1/21/1980,7.891428571
1/28/1980,7.997142857
2/4/1980,8.031428571
2/11/1980,7.904285714
2/18/1980,7.911428571
2/25/1980,8.004285714
3/3/1980,8.055714286
3/10/1980,8.118571429
3/17/1980,8.16
3/24/1980,8.165714286
3/31/1980,8.188571429
4/7/1980,8.221428571
4/14/1980,8.107142857
4/21/1980,8.037142857
4/28/1980,7.977142857
5/5/1980,7.9
5/12/1980,7.897142857
5/19/1980,7.9
5/26/1980,7.835714286
6/2/1980,7.744285714
6/9/1980,7.85
6/16/1980,7.825714286
6/23/1980,7.864285714
6/30/1980,7.851428571
7/7/1980,7.795714286
7/14/1980,7.761428571
7/21/1980,7.764285714
7/28/1980,7.745714286
8/4/1980,7.785714286
8/11/1980,7.777142857
8/18/1980,7.777142857
8/25/1980,7.804285714
9/1/1980,7.76
9/8/1980,7.731428571
9/15/1980,7.741428571
9/22/1980,7.764285714
9/29/1980,7.75
10/6/1980,7.761428571
10/13/1980,7.754285714
10/20/1980,7.728571429
10/27/1980,7.697142857
11/3/1980,7.72
11/10/1980,7.715714286
11/17/1980,7.735714286
11/24/1980,7.807142857
12/1/1980,7.83
12/8/1980,7.91
12/15/1980,7.94
12/22/1980,7.972857143
12/29/1980,7.914285714
1/5/1981,7.9
1/12/1981,7.925714286
1/19/1981,7.971428571
1/26/1981,7.954285714
2/2/1981,8.092857143
2/9/1981,8.151428571
2/16/1981,8.194285714
2/23/1981,8.237142857
3/2/1981,8.325714286
3/9/1981,8.231428571
3/16/1981,8.212857143
3/23/1981,8.23
3/30/1981,8.29
4/6/1981,8.298571429
4/13/1981,8.274285714
4/20/1981,8.321428571
4/27/1981,8.258571429
5/4/1981,8.332857143
5/11/1981,8.34
5/18/1981,8.414285714
5/25/1981,8.421428571
6/1/1981,8.491428571
6/8/1981,8.571428571
6/15/1981,8.597142857
6/22/1981,8.514285714
6/29/1981,8.571428571
7/6/1981,8.778571429
7/13/1981,8.831428571
7/20/1981,8.938571429
7/27/1981,8.972857143
8/3/1981,9.007142857
8/10/1981,9.145714286
8/17/1981,9.088571429
8/24/1981,8.942857143
8/31/1981,9.054285714
9/7/1981,9.02
9/14/1981,9.155714286
9/21/1981,9.071428571
9/28/1981,9.191428571
10/5/1981,9.094285714
10/12/1981,8.981428571
10/19/1981,9.17
10/26/1981,9.21
11/2/1981,9.148571429
11/9/1981,9.162857143
11/16/1981,9.11
11/23/1981,9.137142857
11/30/1981,9.128571429
12/7/1981,9.127142857
12/14/1981,9.15
12/21/1981,9.125714286
12/28/1981,9.122857143
1/4/1982,9.115714286
1/11/1982,9.135714286
1/18/1982,9.158571429
1/25/1982,9.171428571
2/1/1982,9.161428571
2/8/1982,9.155714286
2/15/1982,9.174285714
2/22/1982,9.241428571
3/1/1982,9.288571429
3/8/1982,9.25
3/15/1982,9.278571429
3/22/1982,9.294285714
3/29/1982,9.337142857
4/5/1982,9.348571429
4/12/1982,9.394285714
4/19/1982,9.421428571
4/26/1982,9.404285714
5/3/1982,9.358571429
5/10/1982,9.262857143
5/17/1982,9.265714286
5/24/1982,9.314285714
5/31/1982,9.362857143
6/7/1982,9.357142857
